,Questions,Answers
0,Which branches are available in Prestige Engineering Campus?,"There are seven branches are available in prestige Engineering for B.Tech programmeAI & DS, Automation & Robotics, CE, CSE, EC, EE, ME"
1,Which branch is better?,All branches have equal importance Choice depends on aptitude of student.
2,What are the scope of CSE/AI &DS?,"There is vast scope after taking CSE or AI & DS branches suppose If you want to become Computer Software Engineer, Software/Mobile Apps/System Developer, System Integrator, Data Analytics Professional, AI Expert and wish to roam around the world then you should choose CSE."
3,What is the scope of EC?,"There is vast scope after taking ECE If you want to become Engineer in the field of IoT, Robotics, Sensor and Transistor, Microwave and Radar, Digital Electronics, Embedded System, VLSI & Nano Engineering, Mobile and Wireless Technologies and Signal and Image Processing etc. you should choose EC."
4,What are the scope of ME/ Automation & Robotics?,"There is vast scope after taking  ME/Automotion & Robotics If you want to become Engineer in the field of Industry 4.0, Aerospace, Marine Engineering, Manufacturing Industry, Power Plant, Automobiles, Mechatronics, Automation & Robotics etc. then you should choose Mechanical Engineering or Automation & Robotics. One must be ready to learn computer programming as well as electronics essentials."
5,What is the scope of CE?,"Civil Engineering has a vast scope in 21st century. If you want to become an engineer in the field of Construction, Environmental, Geotechnical, Material, Structural, Urban Planning, Water resource etc. then you should choose CE."
6,Why Prestige is better than other colleges?,"presitige is better than other  college because Prestige Group is Strong educational group, existing since 25 years, with vast experience of running various colleges in Indore, Dewas and Gwalior.AICTE Approved/ RGPV Affiliated/ NBA Accredited for CSE & ECE In 2020 CE & EE & ME applying for NBA accreditation Participated in NIRF & ARIIA Ranking of MHRD, Govt. of India. Experience qualified faculty, Staff, Strong focus on teaching, skill development & All round development of student. Many faculty and Ph.D. and qualified from IIT/IISc or reputed universities.Faculty are also involved in research and consultancy. Advance Laboratories and Center of Excellences are existing.Very good Placement record and support for Entrepreneurship."
7,Which college is better to get admission?,"Any Good College should have 3F- Faculty, Facilities & Forums"
8,How many seats are in M.Tech?,Total  seat availble in M.Tech (CAD/CAM)  is18
9,How many seats are in B.Tech?,Total 540 seats are in B.Tech
10,How many seats are in Diploma?,Total 60 seats are in Diploma (ME-60)
11,Why Engineering?,"If you enjoy problem solving for industry or society, you have interests in Mathematics and Science, your dream is to design Machine or System, your aim is to work in a technical enterprise than definitely you should join Engineering."
12,What is the Admission Process for M.Tech?,"Steps are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
13,What is the Admission Process for B.Tech?,"Steps are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
14,What is the Admission Process for Diploma?,"Steps are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
15,Eligibility Criteria for M.Tech?,Gate Score Card  & B.Tech Degree
16,Eligibility Criteria for B.Tech?,"JEE-Main & 12th Class passed with PCM Marks must be 120 for SC/ST, OBC & 135 for others required"
17,Eligibility Criteria for Diploma?,PPT Score Card & 10th Class Passed
18,Is there any Scholarship Facility Available?,"Yes, there are two scholarship, one from government and other from Prestige Education Foundation"
19,What is Fee Structure for M.Tech?,M.Tech(CAD/CAM)- 70000/- per year*** Likely to increase as per AFRC Govt. of MP
20,What is Fee Structure for B.Tech?,"For B.Tech- (CSE, AI&DS, Robotics) - 72000/- per year, (CE, EC, EE, ME) - 64000/- per year*** Likely to increase as per AFRC Govt. of MP"
21,What is Fee Structure for Diploma?,For Diploma (ME) 40000/- per year*** Likely to increase as per AFRC Govt. of MP
22,Is there any Bus facility available in Prestige Engineering College?,"Yes, Available"
23,What is fee for bus facility?,"For Indore 10000/- per yearFor Dewas, Mhow, Pithampur 12000/- per year"
24,Location of College ?,Vijay Nagar in heart of the city
25,Other Facilities ?,"Other Facilities are Training, Cocubes Training, Internship, Industrial Visit, IIC, E-Cell, LMS-(Moodle), Acc-Soft for Online Attendance, Sports Facility, Extracurricular activity & Basic Facilities like - Light, Water, Solar Power Plant, Rain Water Harvesting, Electricity Generator, Well Equipped Labs, WiFi-Internet 70MBPS leased line, Lift, Auditorium, Girls Common Room etc. Green Lawn, Playground"
26,Is there any hostel facility available?,PIEMR do not have Hostel. Many of hostels are available nearby institute and in Indore at convenient locations
27,Is there any canteen facility available in campus?,Canteen facility is available.
28,What about the Lab facility?,"All departments are having very well equipped laboratories for regular academics as well as advance Labs for Advance technology learning, Projects & Research.Data Analytics, Artificial Intelligence & Machine Learning, Prototyping (CNC Machine, 3D Printers),Coming up (Under Discussion)Robotics Center of Excellence (Tata Motors) Industry 4.0 Center of Excellence (Siemens) AI-ML Center of excellence (Find-ability-science)All departments are having very well equipped laboratories for regular academics as well as advance Labs for Advance technology learning, Projects & Research.Data Analytics, Artificial Intelligence & Machine Learning, Prototyping (CNC Machine, 3D Printers),Coming up (Under Discussion)Robotics Center of Excellence (Tata Motors) Industry 4.0 Center of Excellence (Siemens) AI-ML Center of excellence (Find-ability-science)"
29,Tell me about ragging in campus?,"There is no ragging in campus to restrict such activity we have Management, Faculty & Staff committed to curb ragging. Very Strictly following Govt. NormsAnti-Ragging Committee & Anti-Ragging Squad are always alert and PIEMR take extra effort for Ragging Free Campus.All senior students are cooperative.Action as per Govt. rules"""
30,Is there any sports Facility available or not?,"Yes, Football, Volleyball, T.T., Basketball, Cricket & Indoor games. Students encourage participating in sports. College organizes various Tournaments at Zonal and State Level. PIEMR brought many laurels at RGPV university level and some Players are representing University, State & National Level"""
